Setting,Average_h,Max_h,Min_h,Stdev_h,Final_h,Original_h,New_h,Avg_c,Max_c,Min_c,Stdev_c,Max_a,Min_a,Avg_a,Max_b,Min_b,Avg_b
NoCapNoEQ10mat2mut,157.4,179,140,13.712929827153804,205166.0,62.3,95.1,7.648,21,2,0.9616282487993417,7,1,2.471980245918921,5,1,2.469286403231626
NoCapNoEQ10mat3mut,116.2,127,104,6.941021378570864,325215.6,42.5,73.7,5.936,14,1,0.3452277830972215,2,1,2.484045117485113,7,1,2.442878137424496
NoCapNoEQ10mat4mut,106.5,127,82,12.756262078768303,419680.9,37.3,69.2,5.824,18,1,0.36960038480018453,5,1,2.4515491920111647,8,1,2.4498072352974085
NoCapNoEQ10mat5mut,71.4,91,57,11.00706843603489,535986.5,21.6,49.8,4.324,12,1,0.35849066313581385,5,1,2.3448577077899753,9,1,2.426037764760188
NoCapNoEQ15mat1mut,232.9,250,216,9.915756260730808,113548.0,88.6,144.3,13.192,27,4,0.793932546812945,4,1,2.4818992339015438,4,1,2.5181007660984562
NoCapNoEQ15mat2mut,141.6,172,110,16.249444434947442,231355.0,57.2,84.4,6.708,18,1,0.5612842417171535,6,1,2.509280159565514,7,1,2.4733376041093313
NoCapNoEQ15mat3mut,96.4,114,69,13.091133555875816,294787.7,32.8,63.6,4.9719999999999995,14,1,0.6234099774626646,5,1,2.471301255532369,7,1,2.4365905590495593
NoCapNoEQ15mat4mut,67.8,91,49,11.621818561080131,410277.5,17.1,50.7,4.12,12,1,0.4840569296179026,6,1,2.3427296287806194,4,1,2.313655096018189
NoCapNoEQ15mat5mut,59.1,71,46,8.45182426067493,493964.2,13.5,45.6,3.464,8,1,0.3533710671675188,7,1,2.435487472703814,6,1,2.4466389036851814
NoCapNoEQ20mat1mut,238.6,250,223,10.77239269820983,108497.2,85.1,153.5,12.756,26,4,1.0387085999237495,4,1,2.518544651479104,4,1,2.481455348520896
NoCapNoEQ20mat2mut,130.4,158,110,14.492910144082328,224148.4,46.1,84.3,6.228,15,1,0.40267991148195015,7,1,2.4952085824614727,5,1,2.4905361822530336
NoCapNoEQ20mat3mut,87.2,102,70,10.840254199561517,275077.7,29.4,57.8,4.516,14,1,0.4753291257410782,5,1,2.3977279011987895,4,1,2.4169745938044005
NoCapNoEQ20mat4mut,49.9,64,36,8.412292592787454,428317.2,11.1,38.8,3.372,8,1,0.41356982481801063,6,1,2.323280802434951,8,1,2.305751104389416
NoCapNoEQ20mat5mut,47.9,59,37,7.294594650226365,557532.0,8.5,39.4,3.084,9,1,0.32191096077435244,4,1,2.5057358306188866,4,1,2.308907546969857
NoCapNoEQ25mat1mut,219.6,234,199,10.606077922063786,122804.6,77.5,142.1,11.452,26,4,0.9285687912050458,4,1,2.495753034471908,4,1,2.504246965528092
NoCapNoEQ25mat2mut,118.5,137,98,10.25508004194344,217944.0,42.2,76.3,5.424,15,1,0.3518585574409757,4,1,2.4633589970246343,6,1,2.503715965427911
NoCapNoEQ25mat3mut,72.8,93,53,13.053735097664577,296229.4,22.9,49.9,3.864,11,1,0.4646432323119895,6,1,2.276583791933977,8,1,2.4958786280812646
NoCapNoEQ25mat4mut,49.7,68,36,10.594023472379762,417379.2,12.5,37.2,3.076,7,1,0.41759097478540197,9,1,2.553012313802923,7,1,2.264095741785372
NoCapNoEQ25mat5mut,37.3,52,23,8.743886753358346,533961.9,8.6,28.7,2.688,9,1,0.36014811767752813,8,1,2.3239894912912713,7,1,2.329180486269512
NoCapNoEQ30mat1mut,221.1,245,199,14.425671561490647,122567.5,76.6,144.5,10.868,22,2,0.8643147574813238,4,1,2.5279653452014044,4,1,2.4720346547985956
NoCapNoEQ30mat2mut,110.6,131,99,10.875047892614848,228896.2,38.4,72.2,5.016,13,1,0.17506824066314525,6,1,2.472221711894977,5,1,2.4408685283356344
NoCapNoEQ30mat3mut,61.8,74,54,7.0206045956804095,336051.2,16.3,45.5,3.472,10,1,0.28208745688763504,4,1,2.453453290297167,0,1,2.2631478809792087
NoCapNoEQ30mat4mut,40.4,53,26,8.82169044017201,432041.8,8.7,31.7,2.86,8,1,0.4187813006543843,5,1,2.2139112223644912,5,1,2.3102311632366326
NoCapNoEQ30mat5mut,29.6,36,11,7.47142705393168,461063.6,7,22.6,2.24,6,1,0.32441400161590506,6,1,2.2512406826889584,5,1,2.4234998258446536
